"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
171, 1.733386591626201e-01, 5.555760356004021e-02, 6.784106808595812e+04, -7.376355238192582e-01, 1.101987806494517e+00
172, 1.683569764888443e-01, 5.515147003986896e-02, 6.822281939692727e+04, -7.292257191117851e-01, 1.097236370255326e+00
173, 1.633771835812113e-01, 5.472278773132001e-02, 6.875858993891728e+04, -7.174229420244861e-01, 1.090692597205605e+00
174, 1.583994605400377e-01, 5.427070392234701e-02, 6.926160882834154e+04, -7.063416686858600e-01, 1.083840198064905e+00
175, 1.534240100122038e-01, 5.379428277893024e-02, 6.961093120898028e+04, -6.986462583055698e-01, 1.079019949802874e+00
176, 1.484510285545427e-01, 5.329272643080846e-02, 6.995927484579409e+04, -6.909724091987837e-01, 1.074701718261456e+00
177, 1.434807380034994e-01, 5.276519643576537e-02, 7.032833158790341e+04, -6.828422599682905e-01, 1.070646338570913e+00
178, 1.385133878539277e-01, 5.221064686519294e-02, 7.069790960185735e+04, -6.747006273603030e-01, 1.066420585962915e+00
179, 1.335492744023877e-01, 5.162785573395164e-02, 7.114900258904735e+04, -6.647632576167709e-01, 1.061399250229360e+00
180, 1.285886864414189e-01, 5.101576969565146e-02, 7.154975560386121e+04, -6.559348541675212e-01, 1.056519424633256e+00
181, 1.236319607601824e-01, 5.037317057059673e-02, 7.195259737167342e+04, -6.470604364563856e-01, 1.051827683996615e+00
182, 1.186794993947238e-01, 4.969849883969409e-02, 7.246493200037320e+04, -6.357739416928113e-01, 1.045377795588906e+00
183, 1.137317370295451e-01, 4.899020260716644e-02, 7.313940770481988e+04, -6.209155540688581e-01, 1.037556354098230e+00
184, 1.087891675625614e-01, 4.824653584368917e-02, 7.382917205331252e+04, -6.057203646921037e-01, 1.029243219762025e+00
185, 1.038523924246187e-01, 4.746533035491296e-02, 7.455574061965539e+04, -5.897143954289725e-01, 1.021006448841187e+00
186, 9.892200745255621e-02, 4.664477742715120e-02, 7.530522059491558e+04, -5.732036984307132e-01, 1.012387161173859e+00
187, 9.399867345590390e-02, 4.578293428920743e-02, 7.601465361341319e+04, -5.575752173563412e-01, 1.003909987669540e+00
188, 8.908327421241509e-02, 4.487694178085708e-02, 7.663777309891056e+04, -5.438481834683619e-01, 9.965132396317706e-01
189, 8.417674168783754e-02, 4.392411125148687e-02, 7.752969694050432e+04, -5.241995140172994e-01, 9.874441353560960e-01
190, 7.928015673448806e-02, 4.292143509054930e-02, 7.843715085582530e+04, -5.042087242292901e-01, 9.776300792051170e-01
191, 7.439490455750751e-02, 4.186493197228791e-02, 7.946982230164041e+04, -4.814594501947321e-01, 9.661811457147061e-01
192, 6.952249398066226e-02, 4.075073393585931e-02, 8.062670568272259e+04, -4.559738447110916e-01, 9.533054689381764e-01
193, 6.466483405482003e-02, 3.957391189063609e-02, 8.202131598182657e+04, -4.252512252426207e-01, 9.385348806198839e-01
194, 5.982421120620117e-02, 3.832889109249224e-02, 8.333216461342186e+04, -3.963738365447583e-01, 9.239653082327708e-01
195, 5.500325504551253e-02, 3.700980761334090e-02, 8.501530986486783e+04, -3.592949256091645e-01, 9.064210882650379e-01
196, 5.020552850340367e-02, 3.560863305337294e-02, 8.701408858566944e+04, -3.152627554177365e-01, 8.856823584367419e-01
197, 4.543527122109416e-02, 3.411666678226156e-02, 8.903496856578246e+04, -2.707437047120638e-01, 8.639411957395795e-01
198, 4.069819518485225e-02, 3.252256388538069e-02, 9.113316495102762e+04, -2.245214093830932e-01, 8.425405972457650e-01
199, 3.600152139292354e-02, 3.081318623956807e-02, 9.328447388548616e+04, -1.771290691752546e-01, 8.200446248002700e-01
200, 3.135518960282357e-02, 2.897150004693760e-02, 9.543912638512884e+04, -1.296630717737998e-01, 7.983053165083051e-01
201, 2.677272381372478e-02, 2.697639303768176e-02, 9.917923585536446e+04, -4.727019105414730e-02, 7.646766628165842e-01
202, 2.227365278219364e-02, 2.480004037467810e-02, 1.028415416543216e+05, 3.340871079450779e-02, 7.285384703578014e-01
203, 1.788670081594207e-02, 2.240617411084941e-02, 1.083024079275012e+05, 1.537090675227604e-01, 6.822783032075049e-01
204, 1.365627343032081e-02, 1.974620474826002e-02, 1.157886894751408e+05, 3.186283853922311e-01, 6.187044832228937e-01
205, 9.654518518292975e-03, 1.675453067272816e-02, 1.240918275778777e+05, 5.015426751321262e-01, 5.458400978627225e-01
206, 6.005840749102290e-03, 1.334354397254339e-02, 1.364942613508137e+05, 7.747625513467471e-01, 4.519656561333233e-01
207, 2.927076431726671e-03, 9.414995666461232e-03, 1.504576741271319e+05, 1.082370072590231e+00, 3.310250330247140e-01
208, 7.803026081705524e-04, 4.916515686739708e-03, 1.628656863788112e+05, 1.355712840109865e+00, 1.978180228237396e-01
